Name,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem price,Shipping,Taxes,Financial Status,Shipping Country
#1001,2025-01-02 09:12:00,1,Minimalist Ceramic Vase,VASE-101,34.00,5.00,3.40,paid,Netherlands
#1001,2025-01-02 09:12:00,1,Wooden Coaster Set,CSTR-102,15.00,0.00,1.50,paid,Netherlands
#1002,2025-01-04 14:33:00,2,Linen Tote Bag,TOTE-103,22.00,6.00,4.40,paid,Belgium
#1003,2025-01-09 10:05:00,1,Minimalist Ceramic Vase,VASE-101,34.00,5.00,3.40,paid,Germany
#1004,2025-01-11 18:47:00,3,Linen Tote Bag,TOTE-103,22.00,7.00,6.60,refunded,France
#1005,2025-01-14 08:22:00,1,Wooden Coaster Set,CSTR-102,15.00,4.00,1.50,paid,Netherlands
#1006,2025-01-17 11:58:00,2,Minimalist Ceramic Vase,VASE-101,34.00,6.00,6.80,paid,Italy
#1007,2025-01-19 16:30:00,1,Linen Tote Bag,TOTE-103,22.00,5.00,2.20,paid,Spain
#1008,2025-01-21 09:00:00,1,Wooden Coaster Set,CSTR-102,15.00,4.00,1.50,paid,Belgium
#1009,2025-01-24 13:15:00,2,Minimalist Ceramic Vase,VASE-101,34.00,6.00,6.80,paid,Germany
#1010,2025-01-26 20:40:00,1,Linen Tote Bag,TOTE-103,22.00,5.00,2.20,paid,France
#1011,2025-01-29 07:55:00,1,Wooden Coaster Set,CSTR-102,15.00,4.00,1.50,paid,Italy
#1012,2025-02-02 12:10:00,3,Minimalist Ceramic Vase,VASE-101,34.00,7.00,10.20,paid,Spain
#1013,2025-02-05 15:45:00,2,Linen Tote Bag,TOTE-103,22.00,6.00,4.40,paid,Netherlands
#1014,2025-02-08 08:20:00,1,Wooden Coaster Set,CSTR-102,15.00,4.00,1.50,paid,Belgium
